Province,SAD region,GEO,SADRegion,
Quebec,"Bas-Saint-Laurent and Gaspesie-Îles de-la-Madeleine, 1 - Quebec","Bas-Saint-Laurent and Gaspesie-Îles de-la-Madeleine, 1 - Quebec",1,
Quebec,"Saguenay-Lac-Saint-Jean and Côte-Nord, 2 - Quebec","Saguenay-Lac-Saint-Jean and Côte-Nord, 2 - Quebec",2,
Quebec,"Capitale nationale and Mauricie, 3 - Quebec","Capitale nationale and Mauricie, 3 - Quebec",3,
Quebec,"Estrie, 4 - Quebec","Estrie, 4 - Quebec",4,
Quebec,"Montreal, Laval and Lanaudière, 5 - Quebec","Montreal, Laval and Lanaudière, 5 - Quebec",5,
Quebec,"Outaouais and Laurentides, 6 - Quebec","Outaouais and Laurentides, 6 - Quebec",6,
Quebec,"Abitibi-Temiscamingue and Nord-du-Quebec, 7 - Quebec","Abitibi-Temiscamingue and Nord-du-Quebec, 7 - Quebec",7,
Quebec,"Chaudières-Appalaches, 8 - Quebec","Chaudières-Appalaches, 8 - Quebec",8,
Quebec,"Monteregie Nord-est, 9 - Quebec","Monteregie Nord-est, 9 - Quebec",9,
Quebec,"Monteregie Sud-ouest, 10 - Quebec","Monteregie Sud-ouest, 10 - Quebec",10,
Quebec,"Centre-du-Quebec, 11 - Quebec","Centre-du-Quebec, 11 - Quebec",11,
Quebec,Quebec,Quebec,99,
Ontario,Southern Ontario Region 1 - Ontario,Southern Ontario Region 1 - Ontario,1,
Ontario,Western Ontario Region 2 - Ontario,Western Ontario Region 2 - Ontario,2,
Ontario,Central Ontario Region 3 - Ontario,Central Ontario Region 3 - Ontario,3,
Ontario,Eastern Ontario Region 4 - Ontario,Eastern Ontario Region 4 - Ontario,4,
Ontario,Northern Ontario Region 5 - Ontario,Northern Ontario Region 5 - Ontario,5,
Ontario,Ontario,Ontario,99,
Manitoba,Small Area Data Region 1 - Manitoba,Small Area Data Region 1 - Manitoba,1,
Manitoba,Small Area Data Region 2 - Manitoba,Small Area Data Region 2 - Manitoba,2,
Manitoba,Small Area Data Region 3 - Manitoba,Small Area Data Region 3 - Manitoba,3,
Manitoba,Small Area Data Region 4 - Manitoba,Small Area Data Region 4 - Manitoba,4,
Manitoba,Small Area Data Region 5 - Manitoba,Small Area Data Region 5 - Manitoba,5,
Manitoba,Small Area Data Region 6 - Manitoba,Small Area Data Region 6 - Manitoba,6,
Manitoba,Small Area Data Region 7 - Manitoba,Small Area Data Region 7 - Manitoba,7,
Manitoba,Small Area Data Region 8 - Manitoba,Small Area Data Region 8 - Manitoba,8,
Manitoba,Small Area Data Region 9 - Manitoba,Small Area Data Region 9 - Manitoba,9,
Manitoba,Small Area Data Region 10 - Manitoba,Small Area Data Region 10 - Manitoba,10,
Manitoba,Small Area Data Region 11 - Manitoba,Small Area Data Region 11 - Manitoba,11,
Manitoba,Small Area DataRegion 12 - Manitoba,Small Area DataRegion 12 - Manitoba,12,
Manitoba,Manitoba,Manitoba,99,
Saskatchewan,Small Area Data Region 1 - Saskatchewan (corresponds to Census Division 1 from 2016 Census of Agriculture,Small Area Data Region 1 - Saskatchewan (corresponds to Census Division 1 from 2016 Census of Agriculture,1,
Saskatchewan,Small Area Data Region 2 - Saskatchewan (corresponds to Census Division 2 from 2016 Census of Agriculture),Small Area Data Region 2 - Saskatchewan (corresponds to Census Division 2 from 2016 Census of Agriculture),2,
Saskatchewan,Small Area Data Region 3 - Saskatchewan (corresponds to Census Division 3 from 2016 Census of Agriculture),Small Area Data Region 3 - Saskatchewan (corresponds to Census Division 3 from 2016 Census of Agriculture),3,
Saskatchewan,Small Area Data Region 4 - Saskatchewan (corresponds to Census Division 4 from 2016 Census of Agriculture),Small Area Data Region 4 - Saskatchewan (corresponds to Census Division 4 from 2016 Census of Agriculture),4,
Saskatchewan,Small Area Data Region 5 - Saskatchewan (corresponds to Census Division 5 from 2016 Census of Agriculture),Small Area Data Region 5 - Saskatchewan (corresponds to Census Division 5 from 2016 Census of Agriculture),5,
Saskatchewan,Small Area Data Region 6 - Saskatchewan (corresponds to Census Division 6 from 2016 Census of Agriculture),Small Area Data Region 6 - Saskatchewan (corresponds to Census Division 6 from 2016 Census of Agriculture),6,
Saskatchewan,Small Area Data Region 7 - Saskatchewan (corresponds to Census Division 7 from 2016 Census of Agriculture),Small Area Data Region 7 - Saskatchewan (corresponds to Census Division 7 from 2016 Census of Agriculture),7,
Saskatchewan,Small Area Data Region 8 - Saskatchewan (corresponds to Census Division 8 from 2016 Census of Agriculture),Small Area Data Region 8 - Saskatchewan (corresponds to Census Division 8 from 2016 Census of Agriculture),8,
Saskatchewan,Small Area Data Region 9 - Saskatchewan (corresponds to Census Division 9 from 2016 Census of Agriculture),Small Area Data Region 9 - Saskatchewan (corresponds to Census Division 9 from 2016 Census of Agriculture),9,
Saskatchewan,Small Area Data Region 10 - Saskatchewan (corresponds to Census Division 10 from 2016 Census of Agriculture),Small Area Data Region 10 - Saskatchewan (corresponds to Census Division 10 from 2016 Census of Agriculture),10,
Saskatchewan,Small Area Data Region 11 - Saskatchewan (corresponds to Census Division 11 from 2016 Census of Agriculture),Small Area Data Region 11 - Saskatchewan (corresponds to Census Division 11 from 2016 Census of Agriculture),11,
Saskatchewan,Small Area Data Region 12 - Saskatchewan (corresponds to Census Division 12 from 2016 Census of Agriculture),Small Area Data Region 12 - Saskatchewan (corresponds to Census Division 12 from 2016 Census of Agriculture),12,
Saskatchewan,Small Area Data Region 13 - Saskatchewan (corresponds to Census Division 13 from 2016 Census of Agriculture),Small Area Data Region 13 - Saskatchewan (corresponds to Census Division 13 from 2016 Census of Agriculture),13,
Saskatchewan,Small Area Data Region 14 - Saskatchewan (corresponds to Census Division 14 from 2016 Census of Agriculture),Small Area Data Region 14 - Saskatchewan (corresponds to Census Division 14 from 2016 Census of Agriculture),14,
Saskatchewan,Small Area Data Region 15 - Saskatchewan (corresponds to Census Division 15 from 2016 Census of Agriculture),Small Area Data Region 15 - Saskatchewan (corresponds to Census Division 15 from 2016 Census of Agriculture),15,
