"sad_name","sad_code"
"Bas-Saint-Laurent and Gaspesie-Iles de-la-Madeleine, 1 - Quebec","2401"
"Saguenay-Lac-Saint-Jean and Cote-Nord, 2 - Quebec","2402"
"Capitale nationale and Mauricie, 3 - Quebec","2403"
"Estrie, 4 - Quebec","2404"
"Montreal, Laval and Lanaudiere, 5 - Quebec","2405"
"Outaouais and Laurentides, 6 - Quebec","2406"
"Abitibi-Temiscamingue and Nord-du-Quebec, 7 - Quebec","2407"
"Chaudieres-Appalaches, 8 - Quebec","2408"
"Monteregie Nord-est, 9 - Quebec","2409"
"Monteregie Sud-ouest, 10 - Quebec","2410"
"Centre-du-Quebec, 11 - Quebec","2411"
"Quebec","2499"
"Southern Ontario Region 1 - Ontario","3501"
"Western Ontario Region 2 - Ontario","3502"
"Central Ontario Region 3 - Ontario","3503"
"Eastern Ontario Region 4 - Ontario","3504"
"Northern Ontario Region 5 - Ontario","3505"
"Ontario","3599"
"Small Area Data Region 1 - Manitoba","4601"
"Small Area Data Region 2 - Manitoba","4602"
"Small Area Data Region 3 - Manitoba","4603"
"Small Area Data Region 4 - Manitoba","4604"
"Small Area Data Region 5 - Manitoba","4605"
"Small Area Data Region 6 - Manitoba","4606"
"Small Area Data Region 7 - Manitoba","4607"
"Small Area Data Region 8 - Manitoba","4608"
"Small Area Data Region 9 - Manitoba","4609"
"Small Area Data Region 10 - Manitoba","4610"
"Small Area Data Region 11 - Manitoba","4611"
"Small Area DataRegion 12 - Manitoba","4612"
"Manitoba","4699"
"Small Area Data Region 1 - Saskatchewan","4701"
"Small Area Data Region 2 - Saskatchewan","4702"
"Small Area Data Region 3 - Saskatchewan","4703"
"Small Area Data Region 4 - Saskatchewan","4704"
"Small Area Data Region 5 - Saskatchewan","4705"
"Small Area Data Region 6 - Saskatchewan","4706"
"Small Area Data Region 7 - Saskatchewan","4707"
"Small Area Data Region 8 - Saskatchewan","4708"
"Small Area Data Region 9 - Saskatchewan","4709"
"Small Area Data Region 10 - Saskatchewan","4710"
"Small Area Data Region 11 - Saskatchewan","4711"
"Small Area Data Region 12 - Saskatchewan","4712"
"Small Area Data Region 13 - Saskatchewan","4713"
"Small Area Data Region 14 - Saskatchewan","4714"
"Small Area Data Region 15 - Saskatchewan","4715"
"Small Area Data Region 16 - Saskatchewan","4716"
"Small Area Data Region 17 - Saskatchewan","4717"
"Saskatchewan","4799"
"Small Area Data Region 10 - Alberta","4810"
"Small Area Data Region 20 - Alberta","4820"
"Small Area Data Region 30 - Alberta","4830"
"Small Area Data Region 40 - Alberta","4840"
"Small Area Data Region 41 - Alberta","4841"
"Small Area Data Region 50 - Alberta","4850"
"Small Area Data Region 60 - Alberta","4860"
"Small Area Data Region 70 - Alberta","4870"
"Alberta","4899"
"Non Peace, 1 - British Columbia","5901"
"Peace River, 8 - British Columbia","5908"
"British Columbia","5999"
"Small Area Data Region 18 - Saskatchewan","4718"
"Small Area Data Region 19 - Saskatchewan","4719"
"Small Area Data Region 20 - Saskatchewan","4720"
